thumbnail,title,url,total_shares,total_facebook_shares,google_plus_shares,twitter_shares,linkedin_shares,published_date,giveaway,infographic,general_article,guest_post,interview,video,pinterest_shares,total_shares_with_pinterest,article_amplifiers,article_amplifier_images,real_twitter_shares,author_name
http://www.abc.net.au/news/image/6656874-1x1-700x700.jpg,Safe Schools: Malcolm Turnbull requests investigation into program helping LGBTI students,http://www.abc.net.au/news/2016-02-23/turnbull-requests-investigation-into-safe-schools-program/7192374,28819,26929,75,1813,2,22/02/2016,0,0,1,0,0,0,0,28819,,,,Foreign Investment
https://s3-static-ak.buzzfed.com/static/2016-02/9/21/campaign_images/webdr04/australias-100-biggest-comedians-plead-with-malco-2-17539-1455071911-9_dblbig.jpg,Australia’s 100 Biggest Comedians Plead With Malcolm Turnbull Not To Send 37 Babies To Nauru,http://www.buzzfeed.com/markdistefano/ha-ha-oh-god-nauru,16862,16472,14,376,0,09/02/2016,0,0,1,0,0,0,0,16862,"[""buzzfeedozpol""]","[""http://pbs.twimg.com/profile_images/598841442820194304/5IpIGlpr_bigger.jpg""]",,Mark Di Stefano
http://media.nzherald.co.nz/webcontent/image/jpg/20168/SCCZEN_A_171015HOSSPLTURNBULL_1024x761.jpg,Malcolm Turnbull announces easier way for Kiwis to get citizenship - National - NZ Herald News,http://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=11592375,11324,11210,0,46,68,18/02/2016,0,0,1,0,0,0,0,11324,"[""nzherald"", ""audreynzh""]","[""http://pbs.twimg.com/profile_images/592807842731708417/FyLeWaYz_bigger.jpg"", ""http://pbs.twimg.com/profile_images/633413978010468352/IKOkwDw0_bigger.jpg""]",,Audrey Young
https://i.guim.co.uk/img/media/ca4d75a036d46bb6873464f43d6aabad4d23ce8c/0_19_1153_692/master/1153.jpg?w=1200&q=85&auto=format&sharp=10&s=2171ad1a07c6339314ca66d17163e92a,First Dog on the Moon's list of ways in which Malcolm Turnbull has disappointed us,http://www.theguardian.com/commentisfree/picture/2016/feb/08/first-dog-on-the-moons-list-of-ways-in-which-malcolm-turnbull-has-disappointed-us,10664,10055,60,530,18,08/02/2016,0,0,1,0,0,0,1,10664,"[""firstdogonmoon""]","[""http://pbs.twimg.com/profile_images/443297897048596480/FXdGYcdl_bigger.jpeg""]",,First Dog On The Moon
https://i.guim.co.uk/img/media/bd5fd2d647850efd3bae36ac4d8ee0d6ec935265/0_0_4444_2669/master/4444.jpg?w=1200&q=85&auto=format&sharp=10&s=2ef8caebba05e36da87064bce7904c4e,Turnbull orders review of Safe Schools LGBTI program after pressure from Cory Bernardi,http://www.theguardian.com/australia-news/2016/feb/23/turnbull-orders-review-safe-schools-lgbti-program-after-pressure-from-cory-bernardi,10556,10321,2,200,32,22/02/2016,0,0,1,0,0,0,1,10556,"[""guardian"", ""guardianaus""]","[""http://pbs.twimg.com/profile_images/564829693736546305/8o1OPz2e_bigger.png"", ""http://pbs.twimg.com/profile_images/3711361014/1d998a3e1bbcec22e2ceb8c90a1e5607_bigger.jpeg""]",,Shalailah Medhora
http://www.smh.com.au/content/dam/images/g/m/y/f/3/c/image.related.articleLeadwide.620x349.gmyq2k.png/1455877904610.jpg,Malcolm Turnbull warns property values will fall under Labor negative gearing policy,http://www.smh.com.au/federal-politics/political-news/turnbull-warns-property-prices-will-fall-under-labor-negative-gearing-policy-20160219-gmyq2k.html,10517,10009,14,457,37,19/02/2016,0,0,1,0,0,0,0,10517,"[""bencubby""]","[""http://pbs.twimg.com/profile_images/550947862616354816/hFzg5Uc0_bigger.jpeg""]",,James Massola
https://newmatilda.com/wp-content/uploads/2015/10/Malcolm-Turnbull-shrugging.jpg,Malcolm Turnbull Escalates His War on the Poor And Unemployed - New Matilda,https://newmatilda.com/2016/03/05/malcolm-turnbull-escalates-his-war-on-the-poor-and-unemployed/,9404,8779,27,596,1,04/03/2016,0,0,1,0,0,0,1,9404,"[""newmatilda"", ""shareaholic""]","[""http://pbs.twimg.com/profile_images/474160671366451201/XD3aZiQc_bigger.jpeg"", ""http://pbs.twimg.com/profile_images/378800000665056343/9c3895891075aaf20d790f32374c9f6f_bigger.png""]",,Owen Bennett
http://junkee.com/wp-content/uploads/2016/02/corymalcolm.jpg,"Malcolm Turnbull Caves To Cory Bernardi, Plans Inquiry Into Anti-Homophobia School Program",http://junkee.com/malcolm-turnbull-caves-to-cory-bernardi-plans-inquiry-into-anti-homophobia-school-program/73875,8187,8079,0,108,0,22/02/2016,0,0,1,0,0,0,0,8187,"[""junkeedotcom""]","[""http://pbs.twimg.com/profile_images/575785094390001665/qzReVOta_bigger.png""]",,Alex Mckinnon
https://i.guim.co.uk/img/media/478ef59ebbba5bc81968096a0b32bf76990c141b/0_20_1998_1199/1998.jpg?w=1200&q=55&auto=format&usm=12&fit=max&s=f01ec5938ad4eab8d3c585cf6c58502d,Muslims praise Malcolm Turnbull after 'inclusive' visit to Islamic council,http://www.theguardian.com/world/2016/mar/07/muslims-praise-malcolm-turnbull-after-inclusive-visit-to-islamic-council,6994,6909,6,74,4,06/03/2016,0,0,1,0,0,0,1,6994,"[""guardiannews""]","[""http://pbs.twimg.com/profile_images/566207268039823360/lqAeuznl_bigger.png""]",,Shalailah Medhora
http://www.smh.com.au/content/dam/images/g/m/x/5/2/r/image.related.articleLeadwide.620x349.gn5l0s.png/1456691524224.jpg,"NBN: Malcolm Turnbull's 'faster, cheaper' roll-out falters",http://www.smh.com.au/federal-politics/political-news/nbn-malcolm-turnbulls-faster-cheaper-rollout-falters-20160228-gn5l0s.html,6494,5485,37,935,36,28/02/2016,0,0,1,0,0,0,1,6494,,,,Mark Kenny
